Parameter Code,Analysis Method Code,Unit,Parameter Long Name,Method Name,Method Type,Method Number,Method Source,Method Description
SiO2-Dis,ICP-AES,mg/l,Silica - Dissolved,Inductively Coupled Plasma (ICP) Method,Spectroscopy,SM 3120 B,APHA 2012,A sample is filtered in the field through a 0.45 µm membrane filter and preserved with dilute mineral acid. The sample aliquot is aspirated and the emission is measured at 288.1 nm and compared to identically-prepared standard and blank solutions.
SiO2-Rea,COL-HB,mg/l,Silica - Reactive,Heteropoly Blue Method,Colorimetry,SM 4500-SiO2 D,APHA 2012,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved with diluted mineral acid. NaHCO3(S) is added to the sample aliquot, heated for one hour at 100°C and cooled. Slowly add H2SO4 and dilute to volume. Add 50% HCl and (NH4)6Mo7O24 solutions and shake. Oxalic acid solution (to destroy the molybdophosphoric acid and decrease tannin interference) is added, followed by a 1-amino-2-naphthol-4-sulphonic acid solution (as a reducing agent), containing Na2SO3 and NaHSO3. The resulting heteropoly blue colour is measured, at least two minutes after (but before 15 minutes) adding the oxalic acid, spectrometrically at 815 nm (or 650 nm) and compared to identically-prepared standard and blank solutions.Interferences: High Fe concentrations, colour, sulphide ion, and tannin (the method lessens tannin interference)."
SiO2-Rea,COL-HB-AA-F,mg/l,Silica - Reactive,"Colourimetry using Ascorbic Acid (Heteropoly Blue, Filtered)",Colorimetry,ENV 2329,Environment Canada 1995,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved at 4°C. If the sample is seawater all SiO2 standard solutions are prepared with synthetic seawater. The sample aliquot is mixed with a solution of ammonium molybdate (NH4)6Mo7O24 in diluted H2SO4. The sample is then mixed with an oxalic acid solution, to destroy the molybdophosphoric acid, and an ascorbic acid solution to form a heteropoly blue complex. The colour is measured spectrometrically at 660 nm and compared to identically-prepared SiO2 standard and blank solutions."
SiO2-Rea,COL-HB-AA-UF,mg/l,Silica - Reactive,"Colourimetry using Ascorbic Acid (Heteropoly Blue, unfiltered)",Colorimetry,ENV 2328,Environment Canada 1995,"If the sample is sea water, all standard SiO2 solutions are prepared with synthetic sea water. An unfiltered aliquot is mixed with solution of (NH4)6Mo7O24 in diluted H2SO4. The sample is then successively mixed with oxalic and ascorbic acid solutions. The resulting heteropoly blue colour is measured spectrophotometrically at 660 mu and compared with those of identically prepared standard SiO2 solutions."
SiO2-Rea,COL-MS,mg/l,Silica - Reactive,Molybdosilicate Method,Colorimetry,SM 4500-SiO2 C,APHA 2012,"The sample is filtered in the field through a 0.45µm membrane filter and preserved at 4 °C. To a 50.0mL sample add in rapid succession 1.0mL + 1 HCl and 2.0mL ammonium molybdate reagent. Mix and stand for 5-10 min. Add 2.0mL oxalic acid solution (to destroy the molybdophosphoric acid but not the molybdosilica acid) and mix thoroughly. Read colour visually or photometrically at 410 nm after 2 min but before 15 min, recording the time from the addition of oxalic acid. The intensity of this colour is proportional to the concentration of ""molybdate-reactive silica"".~r~n~r~nThe method detection limit is 0.2 mg SiO2/L.~r~n~r~nTo detect the presence of the molybdate-unreactive silica, digest sample with NaHCO3 before colour development. Prepare a clear sample by filtration if necessary. Place 50.0mL in a 100mL platinum dish. Add 200mg silica-free NaHCO3 and digest on a steam bath for 1 hour. Cool and add slowly, with stirring, 2.4mL 1N H2SO4. Immediately transfer quantitatively to a 50mL Nessler tube and make up to the mark with water. If NaHCO3 pretreatment is used, add to the standards (approximately 45mL total volume) 200mg NaHCO3 and 2.4mL 1N H2SO4, to compensate both for the slight amount of silica introduced by the reagents and for the effect of the salt on colour intensity. Dilute to 50.0mL. Prepare a special blank for every sample that needs such correction. Carry two identical portions of each such sample through the procedure, including NaHCO3 treatment if this is used. To one portion add all reagents. To the other portion add HCL and oxalic acid but no molybdate. Adjust photometer to zero absorbance with the blank containing no molybdate before reading absorbance of molybdate-treated sample. Prepare a calibration curve from a series of approximately six standards to cover the optimum ranges. Set photometer to zero absorbance with water and read all standards, including a reagent blank, against water. Make a set of permanent artificial colour standards, using K2CrO4 and borax solutions. Mix liquid volumes and place them in 50mL Nessler tubes. Verify correctness of these permanent artificial standards by comparing them visually against standards prepared by analyzing portions of the standard silica solutions."
SiO2-Rea,ICP-AES-Xtr,mg/l,Silica - Reactive,Inductively Coupled Plasma (ICP) Method (Extractable/Recoverable Metals),Spectroscopy,"SM 3120 B, 3030 C",APHA 2012,"A sample is preserved in the field with nitric acid. The shaken sample aliquot is digested with concentrated nitric acid or aqua regia, concentrated appropriately, and aspirated from an autosampler. The emission is measured at 288.1 nm [Japan measures at 251.6nm] and compared to identically-prepared standard and blank solutions."
SiO2-Rea,ICP-MS,mg/l,Silica - Reactive,Inductively-Coupled Plasma Mass Spectrometry,Spectroscopy,SM 3125 B,APHA 2012,
SiO2-Rea,SiO2-COL-PHOT-HR,mg/l,Silica - Reactive,Palintest Photometer Method - Silica (Silica HR),Colorimetry,PHOT.56.AUTO,PALINTEST 2013,"Sodium molybdate reacts with silica under acid conditions to produce molybdosilicic acid. Fill the test tube with sample to the 10 ml mark. Add one Silica No 1 tablet, crush and mix to dissolve. Add one Silica No 2 tablet, crush and mix to dissolve. Stand for 10 minutes to allow full colour development. Add one Silica PR tablet, crush and mix to dissolve. Stand for two minutes. (This stage may be omitted if the sample is known to be completely free of phosphate and chlorine). Take photometer reading in usual manner."
Sn-Tot,ICP-SFMS-CVD,mg/l,Tin - Total,Inductively-Coupled Plasma Sector Field Mass Spectrometry with Closed Vessel Digestion,Spectroscopy,SM 3125 B,APHA 2012,"Closed Vessel Digestion - The whole water sample is collected, preserved with 2% H2NO3, and stored in a HDPE or Teflon bottle. The sample is digested ""in-bottle"" in a convection oven at 60°C for 16 hours. The sample is cooled and introduced to an inductively coupled argon plasma-sector field mass spectrometer (ICP-SFMS) by pneumatic nebulization. Each respective element is measured at a specific mass to charge ratio, m/z value expressed in amu (atomic mass units), and at a specified instrument resolution. LR: Low Resolution ~ 300, MR: Mid Resolution ~ 4000 and HR : High Resolution ~ 10000"
SO4-Dis,COL-MTB,mg/l,Sulfate - Dissolved,Colourimetry using Methylthymol Blue,Colorimetry,ENV 615,Environment Canada 2007,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved at 4°C. SO4 ions from the sample aliquot are reacted with an equimolar solution of BaCl2 and methylthymol blue at pH 2.3 - 3.0 producing barium sulphate. The pH is raised to 12.5 - 13.0 and the excess Ba ions in solution complex with the methylthymol blue to produce a blue colour, leaving a grey uncomplexed methylthymol blue in solution. The absorbance of the excess methylthymol blue, equivalent to the concentration of sulphate removed, is measured at 460 nm and compared to identically-prepared standard and blank solutions."
SO4-Dis,IC-CSC,mg/l,Sulfate - Dissolved,Ion Chromatography with Chemical Suppression of Eluent Conductivity,Chromatography,ISO 14911,ISO 1998,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved at 4°C. The sample aliquot is injected into an eluent stream, passed through separator and suppressor columns packed with low capacity anion exchange resin. The sulphate is separated, based on its affinity for the exchange sites, and the background conductivity of the eluent is reduced to a negligible level by being converted to its acid form. The concentration is measured by conductivity and identified by its retention time. The sample is compared to identically-prepared standard and blank solutions."
SO4-Dis,SO4-G-IGN,mg/l,Sulfate - Dissolved,Gravimetric Method with Ignition of Residue,Gravimetric Analysis,SM 4500-SO4 C,APHA 2012,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved at 4°C. The sulphate in the sample aliquot is precipitated in an HCl medium as barium sulphate by the addition of barium chloride. After a period of digestion, near the boiling point, the precipitate is filtered, washed, ignited, and weighed as BaSO4."
SO4-Dis,SO4-TURB,mg/l,Sulfate - Dissolved,Turbidimetric Method,Colorimetry,SM 4500-SO4 E,APHA 2012,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved at 4°C. The sulphate in a sample aliquot is precipitated in a hydrochloric acid medium with barium chloride. The absorbance of the barium sulphate suspension is measured by a photometer and the sulphate concentration is compared to a calibration curve from identically-prepared standard and blank solutions.Interference: Colour and/or suspended matter in large amounts, silica in concentration greater than 500 mg/L will interfere. Organic matter may also interfere."
SO4-Dis,SO4-TURB-Auto,mg/l,Sulfate - Dissolved,Turbidimetric Method (Autoanalyzer),Colorimetry,SM 4500-SO4 E,APHA 2012,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved at 4°C. The sulphate in the sample aliquot is precipitated in a hydrochloric acid medium with barium chloride. The transmittance of the barium sulphate suspension is measured spectrometrically at 420 nm and the sulphate concentration is compared against identically-prepared standard and blank solutions. Interference: Colour and/or suspended matter in large amounts, silica in concentration greater than 500 mg/L will interfere. Organic matter may also interfere."
SO4-Dis,T-COL-Thorin,mg/l,Sulfate - Dissolved,Titration with Barium Chloride using Thorin as Indicator,Titration,NAQ 16303,Environment Canada 1988,"A sample is filtered in the field through a 0.45 µm membrane filter and preserved at 4°C. The sample aliquot is passed through a strongly acidic cation exchange resin. Thorin (See Appendix 8), used as an indicator, and 95% ethanol are added to the eluent. The pH of the eluent is adjusted between 3.8 and 4.0 with 1% NH4OH and 1% HCl solution and titrated, with a barium chloride solution, until the sample turns just pink. Compare against identically-prepared standard and blank solutions. ~r~n~r~nInterference: Cl ion concentration of 1000 mg/L."
SO4-Tot,COL-MTB,mg/l,Sulfate - Total,Colourimetry using Methylthymol Blue,Colorimetry,ENV 615,Environment Canada 2007,"The sulphate ion is reacted with an equimolar solution of BaCl2 and methylthymol blue at pH 2.3-3.0 to produce barium sulphate. The pH is raised to 12.5-13 where excess Ba reacts with the methylthymol blue. The absorbance of uncomplexed methylthymol blue (which is proportional to the amount of sulphate removed as barium sulphate at low pH) is measured at 460 nm.~r~nNote: in the case of precipitation samples, a decanted aliquot of the unshaken, unfiltered sample is normally taken for analysis."
SO4-Tot,SO4-COL-PHOT,mg/l,Sulfate - Total,Palintest Photometer Method - Sulphate,Colorimetry,PHOT.32.AUTO,PALINTEST 2013,"The Palintest Sulphate test is based on a single tablet reagent containing barium chloride in a slightly acidic formulation. Barium salts react with sulphates to form insoluble barium sulphate. Fill test tube with sample to the 10 ml mark. Add one Sulphate Turb tablet, crush and mix to dissolve. A cloudy solution indicates the presence of sulphate. Stand for five minutes then mix again to ensure uniformity. Take photometer reading in usual manner."
SO4-Tot,UV-Vis-AS,mg/l,Sulfate - Total,Ultraviolet-Visible Spectrophotometry,Spectroscopy,,,
Sr-Tot,ICP-AES-Dgs,mg/l,Strontium - Total,Inductively Coupled Plasma (ICP) Method (Total Metals after Rigorous Digestion),Spectroscopy,SM 3120 B,APHA 2012,"Preconcentration by evaporation to near dryness with HNO3 or aqua regia (HNO3/HCl ratio v/v: 1to 3). Residue is taken up with HCl, and digested to near dryness, then brought to one-fifth or one-tenth original volume with deionized water. Digest is filtered through 0.4 um membrane before analysis."
Sr-Tot,ICP-AES-Xtr,mg/l,Strontium - Total,Inductively Coupled Plasma (ICP) Method (Extractable/Recoverable Metals),Spectroscopy,"SM 3120 B, 3030 C",APHA 2012,Digestion with HNO3/HCl. Preconcentration by evaporation (factor 5 to 10).
Sr-Tot,ICP-MS-CVD,mg/l,Strontium - Total,Inductively-Coupled Plasma Mass Spectrometry with Closed Vessel Digestion,Spectroscopy,SM 3125 B,APHA 2012,Water samples are preserved at 2% nitric acid and digested overnight at 60°C in a closed vessel. The resulting solution is analyzed by ICP-MS.
Sr-Tot,ICP-SFMS-CVD,mg/l,Strontium - Total,Inductively-Coupled Plasma Sector Field Mass Spectrometry with Closed Vessel Digestion,Spectroscopy,SM 3125 B,APHA 2012,"Closed Vessel Digestion - The whole water sample is collected, preserved with 2% H2NO3, and stored in a HDPE or Teflon bottle. The sample is digested ""in-bottle"" in a convection oven at 60°C for 16 hours. The sample is cooled and introduced to an inductively coupled argon plasma-sector field mass spectrometer (ICP-SFMS) by pneumatic nebulization. Each respective element is measured at a specific mass to charge ratio, m/z value expressed in amu (atomic mass units), and at a specified instrument resolution. LR: Low Resolution ~ 300, MR: Mid Resolution ~ 4000 and HR : High Resolution ~ 10000"
STYRENE,P-T-GC-FID,µg/l,Phenylethylene,Purge and Trap Capillary-Column Gas Chromatographic Method with Flame Ionization Detector,Chromatography,SM 6200 C,APHA 2012,"Purge-and-trap gas chromatography using a capillary column and flame ionization detection. A 5.0 mL water sample is purged with nitrogen and released volatiles are adsorbed onto a Tenax No3 GC trap. Analytes are thermally desorbed onto a PE-502.2 capillary column into a flame ionization detector. Identification and quantification are performed according to retention times and peak area using a multi-point calibration curve. Confirmation is achieved using a second capillary column, such as PE-5 or PE-1301."
TCE,P-T-GC-FID,µg/l,"1,1,2-Trichloroethene",Purge and Trap Capillary-Column Gas Chromatographic Method with Flame Ionization Detector,Chromatography,SM 6200 C,APHA 2012,"Purge-and-trap gas chromatography using a capillary column and flame ionization detection. A 5.0 mL water sample is purged with nitrogen and released volatiles are adsorbed onto a Tenax No3 GC trap. Analytes are thermally desorbed onto a PE-502.2 capillary column into a flame ionization detector. Identification and quantification are performed according to retention times and peak area using a multi-point calibration curve. Confirmation is achieved using a second capillary column, such as PE-5 or PE-1301."
TDN,COL-AZO-Cd-PS,mg/l,Total Dissolved Nitrogen,Cadmium Reduction Method with Persulfate Digestion,Colorimetry,4500-N C;4500-NO3 E,APHA 2012,"Prepare NO3- calibration standards in the range of 0 to 2.9 mg NO3- -N/L. Prepare glutamic acid digestion check standard of 2.9mg N/L. Samples preserved with acid cannot be analyzed by this method. To a culture tube, add 10.0mL sample or standard or a portion diluted to 10.0mL. Add 5.0mL digestion reagent. Mix by inverting twice and heat for 30 min in an autoclave or pressure cooker at 100 to 110°C. Slowly cool to room temperature. Add 1.0mL borate buffer solution. Mix by inverting at least twice. Carry a reagent blank through all the steps and apply necessary corrections to the results. Determine nitrate by Cd reduction."
TDN,COL-AZO-Cd-UV,mg/l,Total Dissolved Nitrogen,Cadmium Reduction Method with UV Digestion,Colorimetry,SM 4500-NO3 E,APHA 2012,"The sample is filtered through a 0.45µ filter. An aerated aliquot of the shaken sample is acidified and then irradiated in a quartz coil by a UV lamp. The sample is made alkaline and the irradiation process repeated. This solution is mixed with disodium EDTA (disodium dihydrogen ethylenediamine tetraacetate) solution and passed through a column of Cadmium filings. First a sulphaniliamide solution is added, then an N-1-naphthylethylene-diamine dihydrochloride solution is added to the sample to from an azo dye. The intensity of the dye is measured spectrophotometrically at 550mu, and compared with those of standard. NO3 ion solutions. Interference may be cause by turbidity."
TDP,COL-AA-SA-APS-PPS,mg/l,Total Dissolved Phosphorus,"Ascorbic Acid Method with Preliminary H2SO4, (NH4)S2O8 or K2S2O8 Digestion",Colorimetry,SM 4500-P B/E,APHA 2012,"A sample is preserved in the field with 0.2% H2SO4. The sample aliquot is digested with H2SO4, (NH4)S2O8 or K2S2O8 solutions and mixed with ammonium molybdate, antimonyl tartrate and ascorbic acid solutions to form a molybdenum blue complex. The resulting blue colour is measured spectrometrically at 880 nm and compared to identically-prepared phosphorus standard and blank solutions."
TDP,COL-AA-SA-PPS,mg/l,Total Dissolved Phosphorus,Ascorbic Acid Method with Preliminary H2SO4 and K2S2O8 Digestion,Colorimetry,SM 4500-P B/E,APHA 2012,"A sample is preserved in the field with 0.2% H2SO4. The sample aliquot is autoclaved with K2S2O8 and H2SO4 for 30 minutes at 121°C and mixed with ammonium molybdate, antimonyl tartrate and ascorbic acid solutions to form a molybdenum blue complex. The resulting blue colour is measured spectrometrically and compared to identically-prepared standard and blank solutions."
TDP,COL-CFSA-PPS,mg/l,Total Dissolved Phosphorus,Continuous Flow Stream Analysis with Potassium peroxodisulfate decomposition,Colorimetry,VI-2 9.3,JWWA 2001,"A sample is filtered and used as a test solution. 10 mL of potassium peroxodisulfate solution is added to a 50mL sample. The container holding the sample is stoppered, shaken to mix, and placed in a high pressure steam sterilizer to decompose the sample by heating for 30 min at 120°C and a pressure of 0.12 MPa. After cooling, 25 mL of the supernatant of the sample solution is used as the test solution. 2 mL of a color reagent is added, and the solution is then shaken and left to stand at 20-40°C for 15 min. The absorbance at wavelength 880 nm is measured by a photoelectric spectrophotometer and compared to a series of phosphorus standard solutions, which are prepared by sequentially diluting a concentrated standard solution."
TDP,COL-SnCl-PS,mg/l,Total Dissolved Phosphorus,Stannous Chloride Method with Preliminary S2O8 Digestion,Colorimetry,SM 4500-P B/D,APHA 2012,"Acid persulphate digestion followed by automated colorimetric molybdate stannous chloride method.~r~n To convert data from PO4 to P, use the following conversion formula:~r~n P (mg/L) = 0.326 * PO4 (mg/L)"
TDP,COL-SnCl-SA-PPS,mg/l,Total Dissolved Phosphorus,Stannous Chloride Method with Preliminary H2SO4 and K2S2O8 Digestion,Colorimetry,SM 4500-P B/D,APHA 2012,"A sample is preserved in the field with 0.2% H2SO4. The shaken sample aliquot is autoclaved with K2S2O8 and H2SO4 for 30 minutes at 121°C. The sample is then mixed with ammonium molybdate to form the heteropoly molybdophosphoric acid and is reduced with stannous chloride, in an aqueous sulphuric acid medium, at 30°C, to form a molybdenum blue complex. The resulting blue colour is measured spectrometrically at 660 nm and compared to identically-prepared standard and blank solutions. Interferences: Hg concentration of 1 mg/L and As."
TDS,TDS-CND,mg/l,Total Dissolved Solids,Calibrated Conductivity Meter at 25°C,Electrochemical Analysis,,Orion Research Inc. 1996,"The Total Dissolved Solids (TDS) is measured through a calibrated conductivity meter (Orion 105 or 115, or equivalent) and corrected to 25°C, where the values are compared to the Critical Table Values, with a relative standard deviation (RSD) of 0.87% and an accuracy of ± 0.5%."
TDS,TDS-G,mg/l,Total Dissolved Solids,Total Dissolved Solids Dried at 180°C,Gravimetric Analysis,SM 2540 C,APHA 2012,
TDS,TDS-G-105,mg/l,Total Dissolved Solids,Total Dissolved Solids Dried at 180°C (105°C used),Gravimetric Analysis,SM 2540 C,APHA 2012,"If oil and grease are present the sample is blended. A sample aliquot is passed through a Whatman GF/C filter. The filtrate is evaporated to dryness in a pre-weighed ignited dish. The dish containing the residue is oven-dried overnight at 105°C, cooled for 15 minutes in a desiccator, and weighed to constant weight."
TDS,TDS-G-70-80,mg/l,Total Dissolved Solids,Gravimetric (70-80 °C),Gravimetric Analysis,,,Filtrate is dried at 70-80 degrees C
TEMP,TEMP-BTG,°C,Water Temperature,Electronic Bathythermograph,---,STAR 104,Environment Canada 2007,The electronic bathythermograph provides a direct instantaneous readout and graphical record of temperatures versus depth.
TEMP,TEMP-CND,°C,Water Temperature,Conductivity-Temperature Meter,---,ENV 42,Environment Canada 2007,Water temperature is measured with a battery-operated conductivity-temperature meter calibrated by switching to an internal standard. The accuracy is ±0.5 °C.
TEMP,TEMP-DIG,°C,Water Temperature,Digital Thermometer,---,SM 2550 B,APHA 1998,"Ambient temperature is measured with a calibrated digital thermometer in the shade, free from the influences of direct or reflected solar radiation. To reduce the error due to evaporative cooling, a dry thermometer should be used. Water temperature is measured by immersing a calibrated digital thermometer into the water sample immediately after collection.~r~n Method precision is ±0.1 °C."
TEMP,TEMP-Hg,°C,Water Temperature,Mercury Thermometer,---,SM 2550 B,APHA 1998,"Both atmospheric and water temperature are measured upon sample collection.~r~n The atmospheric temperature is measured in a well-ventilated area and in the shade, at 1.2 to 1.5 m above the ground, using a 50°C calibrated (liquid in glass) thermometer.~r~n The water temperature is measured by immersing a calibrated thermometer into the water or by measuring the temperature immediately after collection using a calibrated thermometer.~r~n The Hg-filled thermometer has a precision of ± 0.1°C."
TEMP,TEMP-NCIR,°C,Water Temperature,Infrared (non-contact),---,MCode-THM03,USGS 1998,"Air temperature, in addition to water temperature, should be measured and recorded whenever water-quality samples are collected. Water temperature must always be measured in situ and in a manner that ensures that the measurement accurately represents the intended sample conditions. Before measuring air or water temperature, inspect the liquid-in-glass thermometer to be certain that the liquid column has not separated. Inspect the glass bulb to be sure it is clean. Inspect the protective case to be sure it is free of sand and debris. Check that batteries are fully charged for thermistor thermometers or temperature sensors incorporated into other field meters."
TEMP,TEMP-ORT,°C,Water Temperature,Oceanographic Reversing Thermometer,---,STAR 100,Environment Canada 2007,
TEMP,TEMP-pH,°C,Water Temperature,pH meter (in situ),---,,,Potentiometric or Electrochemical field measurement.
TEMP,TEMP-THERMISTOR,°C,Water Temperature,Thermistor,---,EPA 170.1,US-EPA 1974,Water Temperature is measured with a battery-operated YSI thermistor (or equivalent) calibrated against a certified thermometer. Resolution is 0.1°C and accuracy is ±0.2 °C.~r~n The method range is -10 °C to +90 °C.
TEMP-Air,TEMP-Hg,°C,Air Temperature,Mercury Thermometer,---,SM 2550 B,APHA 1998,"Air temperature is measured with a calibrated thermometer with a scale marked for every 0.1ºC, and reported in degrees Celsius.~r~n The method precision is within 0.1°C"
TEMP-Air,TEMP-THERMISTOR,°C,Air Temperature,Thermistor,---,EPA 170.1,US-EPA 1974,Measurement device should be routinely checked against a precision thermometer certified by the National Bureau of Standards.
TIP,COL-AA-SA-NA,mg/l,Total Inorganic Phosphorus,Ascorbic Acid Method with Preliminary H2SO2 or HNO3 Hydrolysis,Colorimetry,SM 4500-P B/E,APHA 1998,"A sample aliquot is digested by boiling gently with dilute H2SO4/HNO3 solution for at least 90 minutes, and then mixed with ammonium molybdate, antimonyl tartrate and ascorbic acid solution to form a molybdenum blue complex. The resulting blue colour is measured spectrometrically at 880 nm and compared to identically-prepared phosphorus standard and blank solutions. For highly coloured or turbid samples, the blank is prepared by adding all reagents except ascorbic acid and antimonyl tartrate to a duplicate sample aliquot."
TIP,COL-SnCl-SA,mg/l,Total Inorganic Phosphorus,Stannous Chloride Method with Preliminary H2SO4 Hydrolysis,Colorimetry,SM 4500-P B/D,APHA 2012,"A sample is preserved in the field with 0.2% H2SO4. The shaken sample aliquot is autoclaved with H2SO4 for 30 minutes at 121°C. The aliquot is then mixed with ammonium molybdate to form the heteropoly molybdophosphoric acid and is reduced with stannous chloride, in an aqueous sulphuric acid medium, at 30°C, to form a molybdenum blue complex. The resulting molybdenum blue complex is measured spectrometrically at 660 nm and compared to identically-prepared standard and blank solutions."
TKN,TKN-CALC-DIFF,mg/l,Total Kjeldahl Nitrogen,"Difference Calculation from Total Nitrogen, Nitrate and Nitrite",Calculation,,,TKN = TN - NO3 - NO2
TKN,TKN-COL-FIA,mg/l,Total Kjeldahl Nitrogen,Block Digestion and Flow Injection Analysis,Colorimetry,SM 4500-Norg D,APHA 2012,"Water samples are digested with H2SO4, K2SO4 and HgO catalyst in a block digester during a two stage heating cycle (200°C and 360°C). Organic nitrogen is converted to ammonia which is determined by automated colourimetry of the Berthelot reaction at 660 mm."
TKN,TKN-COL-PHE,mg/l,Total Kjeldahl Nitrogen,Macro-Kjeldahl Method with Phenate,Colorimetry,4500-Norg B; NH3 F,APHA 2012,"In the Kjeldahl method, the organic compounds are digested with concentrated sulphuric acid, which convert organic nitrogen into ammonium sulphate. Inorganic nitrogen compounds, which include amongst others, nitrate and nitrite are not reduced. For most surface waters, it is accepted that the method determines the sum of the ammonium originally present and the organic nitrogen. The digestion is accelerated in two ways, by the addition of mercury(II) as a catalyst and potassium sulphate to raise the boiling point of the digestion mixture. After digestion of the sample, the ammonium ions are determined using the indophenol-blue method. Measurements are done colorimetrically at 630 nm."
TKN,TKN-COL-Tech,mg/l,Total Kjeldahl Nitrogen,"Total Nitrogen (Kjeldahl) in Water and Sea Water, Technicon AutoAnalyzer II Methodology",Colorimetry,170-72W,Technicon Industrial Systems 1971,"A sample is collected in the field and preserved with sulphuric acid at 4°C. The sum of the free ammonia and organic nitrogen compounds are converted to ammonium bisulphate under the following conditions: the shaken sample aliquot of known volume is digested, at 300°C, with HClO4 and H2SO4 solutions [or H2SO4 and CuSO4] to convert the organic nitrogen to (NH4) HSO4. The total ammonia-nitrogen is determined colourimetrically, at 660 nm, by the reaction of ammonia with salicylate and dichloro-isocyanurate solutions, in the presence of sodium nitroprusside, to form an indophenol blue complex; the colour intensity is measured at 660 nm and compared to identically-prepared standard and blank solutions."
TKN,TKN-NH3-ISE,mg/l,Total Kjeldahl Nitrogen,Macro-Kjeldahl Method with Ammonia-Selective Electrode,Electrochemical Analysis,4500-Norg B; NH3 D,APHA 2012,"The shaken sample is digested with concentrated H2SO4 and K2SO4 to yield NH4HSO4. The solution is then made alkaline with NaOH and ammonia is determined by Orion gas sensing electrode - model 95-10. (NOTE: If free ammonia was done on a preserved sample and TKN was done, then subtracting ammonia-N from TKN would give Total Organic Nitrogen)."
TKN,TKN-T-COL,mg/l,Total Kjeldahl Nitrogen,Macro-Kjeldahl Method with Titration,Titration,4500-Norg B; NH3 C,APHA 2012,"A sample is preserved in the field at 4°C. TKN includes all forms of nitrogen, except the nitrate and nitrite compounds. The sum of the free ammonia and organic nitrogen compounds are converted to ammonium bisulphate as follows: the shaken sample aliquot is digested in a solution of concentrated H2SO4 with HgSO4 or CuSO4 (as a catalyst) and K2SO4 to form NH4HSO4. The ammonia is then distilled from an alkaline medium, absorbed in boric acid, determined by titration with standardized sulphuric acid, using the ""N point"" indicator and compared to identically-prepared standard and blank solutions."
Tl-Tot,ICP-MS-CVD,mg/l,Thallium - Total,Inductively-Coupled Plasma Mass Spectrometry with Closed Vessel Digestion,Spectroscopy,SM 3125 B,APHA 2012,Water samples are preserved at 2% nitric acid and digested overnight at 60°C in a closed vessel. The resulting solution is analyzed by ICP-MS.
Tl-Tot,ICP-SFMS-CVD,mg/l,Thallium - Total,Inductively-Coupled Plasma Sector Field Mass Spectrometry with Closed Vessel Digestion,Spectroscopy,SM 3125 B,APHA 2012,"Closed Vessel Digestion - The whole water sample is collected, preserved with 2% H2NO3, and stored in a HDPE or Teflon bottle. The sample is digested ""in-bottle"" in a convection oven at 60°C for 16 hours. The sample is cooled and introduced to an inductively coupled argon plasma-sector field mass spectrometer (ICP-SFMS) by pneumatic nebulization. Each respective element is measured at a specific mass to charge ratio, m/z value expressed in amu (atomic mass units), and at a specified instrument resolution. LR: Low Resolution ~ 300, MR: Mid Resolution ~ 4000 and HR : High Resolution ~ 10000"
TN,COL-AZO-Cd-PS,mg/l,Total Nitrogen,Cadmium Reduction Method with Persulfate Digestion,Colorimetry,4500-N C;4500-NO3 E,APHA 2012,"Prepare NO3- calibration standards in the range of 0 to 2.9 mg NO3- -N/L. Prepare glutamic acid digestion check standard of 2.9mg N/L. Samples preserved with acid cannot be analyzed by this method. To a culture tube, add 10.0mL sample or standard or a portion diluted to 10.0mL. Add 5.0mL digestion reagent. Mix by inverting twice and heat for 30 min in an autoclave or pressure cooker at 100 to 110°C. Slowly cool to room temperature. Add 1.0mL borate buffer solution. Mix by inverting at least twice. Carry a reagent blank through all the steps and apply necessary corrections to the results. Determine nitrate by Cd reduction."
TN,COL-AZO-Cd-PS-Auto,mg/l,Total Nitrogen,Automated Cadmium Reduction Method with Persulfate Digestion,Colorimetry,4500-N C;4500-NO3 F,APHA 2012,"As per code 07607 (above) with persulphate digestion, but using Cd reduction prior to analysis"
TN,COL-AZO-Cd-UV,mg/l,Total Nitrogen,Cadmium Reduction Method with UV Digestion,Colorimetry,SM 4500-NO3 E,APHA 2012,"An aerated aliquot of the shaken sample is acidified and then irradiated in a quartz coil by a UV lamp. The sample is made alkaline and the irradiation process repeated. This solution is mixed with disodium EDTA (disodium dihydrogen ethylenediamine tetraacetate) solution and passed through a column of Cadmium filings. First a sulphaniliamide solution is added, then an N-1-naphthylethylene-diamine dihydrochloride solution is added to the sample to from an azo dye. The intensity of the dye is measured spectrophotometrically at 550mu, and compared with those of standard. NO3 ion solutions. Interference may be cause by turbidity."
